Number,R,G,B,Type,Comments,Name,EffectType
DB0001,51,51,59,,multi,Gunmetal ,Metallic
DB0002,30,37,47,,multi,Metallic Dark Blue AB ,MetallicAB
DB0003,41,43,40,,multi,Metallic Forest Green AB ,MetallicAB
DB0004,37,37,39,,multi,Metallic Dark Plum AB ,MetallicAB
DB0005,44,53,62,,multi,Metallic Variegated Blue AB ,MetallicAB
DB0006,55,62,68,,multi,Gunmetal AB ,AB
DB0007,51,40,34,,multi,Metallic Brown AB ,MetallicAB
DB0010,23,23,23,,,Black ,
DB0011,60,57,38,,,Metallic Olive ,Metallic
DB0012,67,38,40,,,Metallic Dark Raspberry ,Metallic
DB0021,100,92,89,,,Nickel Plated ,Galvanized
DB0022,75,57,47,,,Metallic Dark Bronze ,Metallic
DB0023,74,61,55,,multi,Metallic Gold AB ,MetallicAB
DB0024,80,82,61,,multi,Metallic Olive Green AB ,MetallicAB
DB0025,41,55,66,,multi,Metallic Blue AB ,MetallicAB
DB0026,67,66,64,,multi,Metallic Steel AB ,MetallicAB
DB0027,57,68,62,,multi,Metallic Dark Green AB ,MetallicAB
DB0029,97,84,68,,multi,Metallic Golden Olive AB ,MetallicAB
DB0031,181,135,75,,,24d Gold Plated ,Galvanized
DB0033,169,120,64,,,24kt Gold Lined Crystal ,LinedCrystal
DB0034,149,119,83,,,24kt Gold Light Plated ,
DB0035,161,152,135,,,Galvanized Silver ,Galvanized
DB0037,131,97,87,,,Copper Lined Crystal ,LinedCrystal
DB0038,122,116,116,,,Palladium Plated ,Galvanized
DB0040,133,89,76,,,Copper Plated ,Galvanized
DB0041,147,141,141,,,Silver Lined Crystal ,SilverLinedCrystal
DB0042,178,128,69,,,Silver Lined Gold ,SilverLined
DB0043,172,46,24,,,Silver Lined Flame Red ,SilverLined
DB0044,88,136,158,,,Silver Lined Aqua ,SilverLined
DB0045,194,96,21,,,Silver Lined Orange ,SilverLined
DB0046,50,99,52,,,Silver Lined Green ,SilverLined
DB0047,47,45,118,,,Silver Lined Cobalt ,SilverLined
DB0048,87,86,84,,,Silver Lined Light Grey ,SilverLined
DB0050,153,153,165,,,Crystal Luster ,LusterCrystal
DB0051,225,226,231,,,Crystal AB ,ABCrystal
DB0052,237,218,203,,,Pale Peach Lined Crystal AB ,ABLinedCrystal
DB0053,242,212,126,,,Light Yellow Lined Crystal AB ,ABLinedCrystal
DB0054,191,126,106,,,Dark Peach Lined Crystal AB ,ABLinedCrystal
DB0055,235,212,228,,,Pink Lined Crystal AB ,ABLinedCrystal
DB0056,108,73,105,,glossy/ multi,Raspberry Lined Crystal AB ,ABLinedCrystal
DB0057,73,161,197,,,Aqua Lined Crystal AB ,ABLinedCrystal
DB0058,66,108,132,,glossy/ multi,Marine Blue Lined Crystal AB ,ABLinedCrystal
DB0059,80,78,99,,glossy/ multi,Amethyst Lined Crystal AB ,ABLinedCrystal
DB0060,72,115,106,,glossy/ multi,Lime Lined Crystal AB ,ABLinedCrystal
DB0061,74,52,54,,glossy/ multi,Purple Lined Light Topaz Luster ,LinedLuster
DB0062,146,44,57,,glossy/ multi,Light Cranberry Lined Topaz Luster ,LinedLuster
DB0063,57,66,157,,glossy/ multi,Cobalt Lined Sapphire AB ,ABLined
DB0064,102,91,85,,glossy/ multi,Taupe Lined Crystal AB ,ABLinedCrystal
DB0065,134,84,33,,,Lined Topaz AB ,ABLined
DB0066,222,221,216,,,White Lined Crystal AB ,ABLinedCrystal
DB0067,215,146,117,,,Light Peach Lined Crystal Luster ,LinedLusterCrystal
DB0068,216,129,109,,,Peach Lined Crystal Luster ,LinedLusterCrystal
DB0069,160,121,104,,,Blush Lined Crystal AB ,ABLinedCrystal
DB0070,214,109,116,,,Coral Lined Crystal Luster ,LinedLusterCrystal
DB0071,227,211,224,,,Transparent Pink AB ,ABTransparent
DB0072,179,109,146,,,Orchid Lined Crystal Luster ,LinedLusterCrystal
DB0073,128,60,133,,,Magenta Lined Crystal AB ,ABLinedCrystal
DB0074,151,55,116,,,Fuchsia Lined Crystal AB ,ABLinedCrystal
DB0075,203,69,93,,,Dark Coral Lined Crystal AB ,ABLinedCrystal
DB0076,54,142,206,,,Light Blue Lined Crystal AB ,ABLinedCrystal
DB0077,49,102,170,,,Blue Lined Crystal AB ,ABLinedCrystal
DB0078,150,200,211,,,Aqua Mist Lined Crystal Luster ,LinedLusterCrystal
DB0079,62,147,152,,,Turquoise Green Lined Crystal AB ,ABLinedCrystal
DB0080,157,152,174,,,Pale Violet Lined Crystal Luster ,LinedLusterCrystal
DB0081,93,98,102,,,Grey Lined Crystal AB ,ABLinedCrystal
DB0082,228,222,226,,,Transparent Pale Pink AB ,ABTransparent
DB0083,179,216,225,,,Transparent Pale Aqua AB ,ABTransparent
DB0084,100,124,128,,glossy/ multi,Sea Foam Lined Crystal AB ,ABLinedCrystal
DB0085,59,78,93,,glossy/ multi,Blue Lined Aqua AB ,ABLined
DB0086,66,73,91,,glossy/ multi,Noir Lined Crystal AB ,ABLinedCrystal
DB0087,81,68,62,,glossy/ multi,Root Beer Lined Light Topaz AB ,ABLined
DB0088,121,76,70,,glossy/ multi,Berry Lined Light Topaz AB ,ABLined
DB0089,82,82,74,,glossy/ multi,Blue Lined Light Topaz AB ,ABLined
DB0098,193,53,62,,,Transparent Light Siam Luster ,TransparentLuster
DB0099,199,139,87,,,Transparent Light Topaz Luster ,TransparentLuster
DB0100,195,135,83,,,Transparent Light Topaz AB ,ABTransparent
DB0101,179,125,89,,,Light Smoky Topaz Gold Luster ,Luster
DB0102,122,84,61,,,Peach Topaz Gold Luster ,Luster
DB0103,106,64,65,,glossy/ multi,Dark Topaz Rainbow Gold Luster ,Luster
DB0104,76,53,59,,glossy/ multi,Claret Rainbow Gold Luster ,Luster
DB0105,75,36,39,,glossy/ multi,Garnet Gold Luster ,Luster
DB0106,212,133,128,,,Shell Pink Luster ,Luster
DB0107,117,115,116,,glossy/ multi,Transparent Grey Rainbow Gold Luster ,TransparentLuster
DB0108,98,64,65,,,Cinnamon Gold Luster ,Luster
DB0109,225,210,179,,,Crystal Ivory Gold Luster ,LusterCrystal
DB0110,136,150,161,,,Transparent Light Marine Blue Gold Luster ,TransparentLuster
DB0111,84,93,102,,glossy/ multi,Transparent Blue Grey Rainbow Gold Luster ,TransparentLuster
DB0112,70,111,113,,,Transparent Sea Foam Luster ,TransparentLuster
DB0113,38,102,148,,,Transparent Blue Luster ,TransparentLuster
DB0114,128,127,125,,,Transparent Silver Grey Gold Luster ,TransparentLuster
DB0115,108,74,49,,,Dark Topaz Gold Luster ,Luster
DB0116,96,40,39,,,Wine Gold Luster ,Luster
DB0117,82,59,69,,,Violet Gold Luster ,Luster
DB0118,131,82,41,,,Transparent Saffron Luster ,TransparentLuster
DB0119,138,79,35,,,Transparent Honey Luster ,TransparentLuster
DB0120,89,42,48,,,Dark Topaz Claret Luster ,Luster
DB0121,112,73,44,,,Apricot Topaz Gold Luster ,Luster
DB0122,81,70,64,,glossy/ multi,Root Beer Gold Luster ,Luster
DB0123,78,64,53,,,Transparent Smoky Olive Luster ,TransparentLuster
DB0124,132,121,67,,,Transparent Golden Olive Luster ,TransparentLuster
DB0125,62,74,62,,glossy/ multi,Emerald Gold Luster ,Luster
DB0126,101,78,70,,glossy/ multi,Cinnamon Rainbow Gold Luster ,Luster
DB0127,90,79,75,,glossy/ multi,Forest Green Rainbow Gold Luster ,Luster
DB0128,84,70,87,,glossy/ multi,Plum Gold Luster ,Luster
DB0129,93,68,74,,multi,Mulberry Rainbow Gold Luster ,Luster
DB0131,68,61,53,,multi,Opaque Dark Olive Luster ,OpaqueLuster
DB0132,73,79,93,,multi,Opaque Blue Grey Luster ,OpaqueLuster
DB0133,110,96,57,,multi,Opaque Golden Olive Luster ,OpaqueLuster
DB0134,82,81,95,,multi,Opaque Purple Grey Rainbow Luster ,OpaqueLuster
DB0135,60,56,91,,multi,Opaque Eggplant Luster ,OpaqueLuster
DB0141,151,150,158,,,Crystal ,Crystal
DB0144,103,58,29,,,Silver Lined Dark Topaz ,SilverLined
DB0145,190,166,40,,,Silver Lined Yellow ,SilverLined
DB0146,116,87,89,,,Silver Lined Smoky Amethyst ,SilverLined
DB0147,146,148,51,,,Silver Lined Chartreuse ,SilverLined
DB0148,33,65,44,,,Silver Lined Emerald ,SilverLined
DB0149,42,87,118,,,Silver Lined Capri Blue ,SilverLined
DB0150,70,52,38,,,Silver Lined Root Beer ,SilverLined
DB0151,231,100,46,,,Transparent Orange AB ,ABTransparent
DB0152,43,106,75,,,Transparent Green AB ,ABTransparent
DB0157,233,197,149,,,Opaque Cream AB ,ABOpaque
DB0158,148,122,133,,,Opaque Mauve AB ,ABOpaque
DB0159,214,47,57,,,Opaque Vermillion Red AB ,ABOpaque
DB0160,238,221,43,,,Opaque Yellow AB ,ABOpaque
DB0161,226,85,57,,,Opaque Orange AB ,ABOpaque
DB0162,162,43,62,,,Opaque Red AB ,ABOpaque
DB0163,77,127,78,,,Opaque Green AB ,ABOpaque
DB0164,65,161,209,,,Opaque Turquoise Blue AB ,ABOpaque
DB0165,51,52,132,,,Opaque Cobalt AB ,ABOpaque
DB0166,56,145,149,,,Opaque Turquoise Green AB ,ABOpaque
DB0167,96,112,197,,,Opaque Medium Blue AB ,ABOpaque
DB0168,105,106,108,,,Opaque Grey AB ,ABOpaque
DB0169,157,173,85,,,Opaque Chartreuse AB ,ABOpaque
DB0170,104,67,58,,,Transparent Topaz AB ,ABTransparent
DB0171,222,183,62,,,Transparent Yellow AB ,ABTransparent
DB0172,177,44,61,,,Transparent Red AB ,ABTransparent
DB0173,118,95,115,,,Transparent Smoky Amethyst AB ,ABTransparent
DB0174,160,179,74,,,Transparent Chartreuse AB ,ABTransparent
DB0175,44,77,68,,,Transparent Emerald AB ,ABTransparent
DB0176,75,153,215,,,Transparent Aqua AB ,ABTransparent
DB0177,38,99,146,,,Transparent Capri Blue AB ,ABTransparent
DB0178,55,56,146,,,Transparent Cobalt AB ,ABTransparent
DB0179,89,97,108,,,Transparent Grey AB ,ABTransparent
DB0180,74,65,68,,,Transparent Root Beer AB ,ABTransparent
DB0181,127,80,50,,,Silver Lined Copper ,SilverLined
DB0182,50,64,39,,,Silver Lined Jade Green ,SilverLined
DB0183,45,41,76,,,Silver Lined Royal Blue ,SilverLined
DB0184,74,63,57,,,Silver Lined Dark Taupe ,SilverLined
DB0191,147,114,109,,,Copper Lined Opal ,Lined
DB0200,239,239,241,,,White ,
DB0201,237,235,236,,,White Pearl Ceylon ,Ceylon
DB0202,237,235,236,,,White Pearl AB ,AB
DB0203,231,214,188,,,Cream Ceylon ,Ceylon
DB0204,218,177,145,,,Antique Beige Ceylon ,Ceylon
DB0205,210,164,130,,,Light Caramel Ceylon ,Ceylon
DB0206,237,154,136,,,Opaque Salmon ,Opaque
DB0207,232,144,130,,,Opaque Tea Rose Luster ,OpaqueLuster
DB0208,202,148,120,,,Opaque Tan Luster ,OpaqueLuster
DB0209,172,175,190,,,Opaque Light Grey Luster ,OpaqueLuster
DB0210,182,129,149,,,Opaque Antique Rose Luster ,OpaqueLuster
DB0211,206,197,180,,,Opaque Limestone Luster ,OpaqueLuster
DB0214,169,34,48,,,Opaque Red Luster ,OpaqueLuster
DB0215,67,159,200,,,Opaque Turquoise Blue Luster ,OpaqueLuster
DB0216,41,41,127,,,Opaque Cobalt Luster ,OpaqueLuster
DB0217,75,146,166,,,Opaque Turquoise Green Luster ,OpaqueLuster
DB0218,69,135,169,,,Opaque Medium Turquoise Blue Luster ,OpaqueLuster
DB0220,232,230,233,,,White Opal ,
DB0221,199,188,182,,,Gilt Lined White Opal ,Lined
DB0222,229,227,228,,,White Opal AB ,AB
DB0223,184,173,169,,,Silver Lined Opal AB ,ABSilverLined
DB0230,187,139,91,,,24kt Gold Lined Opal ,Lined
DB0231,199,198,206,,,Crystal Ceylon ,CeylonCrystal
DB0232,238,222,137,,,Light Lemon Ice Ceylon ,Ceylon
DB0233,241,189,87,,,Light Daffodil Ceylon ,Ceylon
DB0234,238,192,194,,,Baby Pink Ceylon ,Ceylon
DB0235,234,119,100,,,Salmon Ceylon ,Ceylon
DB0236,219,112,132,,,Carnation Pink Ceylon ,Ceylon
DB0237,129,199,162,,,Mint Green Ceylon ,Ceylon
DB0238,51,142,135,,,Aqua Green Ceylon ,Ceylon
DB0239,108,202,228,,,Light Aqua Ceylon ,Ceylon
DB0240,79,118,213,,,Dark Sky Blue Ceylon ,Ceylon
DB0241,169,156,184,,,Pale Violet Ceylon ,Ceylon
DB0242,120,125,145,,,Silver Grey Ceylon ,Ceylon
DB0243,86,101,160,,,Blue Ceylon ,Ceylon
DB0244,246,186,214,,,Pink Ceylon ,Ceylon
DB0245,246,168,208,,,Cotton Candy Pink Ceylon ,Ceylon
DB0246,245,147,194,,,Dark Cotton Candy Pink Ceylon ,Ceylon
DB0247,211,97,185,,,Hot Pink Ceylon ,Ceylon
DB0248,221,154,221,,,Light Orchid Ceylon ,Ceylon
DB0249,134,110,184,,,Purple Ceylon ,Ceylon
DB0250,103,95,136,,,Amethyst Ceylon ,Ceylon
DB0251,129,128,126,,,Opaque Smoke Grey Luster ,OpaqueLuster
DB0252,150,151,153,,,Opaque Grey Luster ,OpaqueLuster
DB0253,147,98,127,,,Opaque Dark Orchid Luster ,OpaqueLuster
DB0254,87,76,70,,,Bronze Luster ,Luster
DB0256,157,127,127,,,Light Cinnamon Ceylon ,Ceylon
DB0257,153,167,204,,,Sky Blue Ceylon ,Ceylon
DB0261,187,170,152,,,Opaque Linen Luster ,OpaqueLuster
DB0262,156,159,72,,,Opaque Chartreuse Luster ,OpaqueLuster
DB0263,107,112,82,,,Opaque Cactus Luster ,OpaqueLuster
DB0264,70,99,103,,,Opaque Mallard Luster ,OpaqueLuster
DB0265,118,91,108,,,Opaque Mauve Luster ,OpaqueLuster
DB0266,95,109,146,,,Opaque Denim Blue Luster ,OpaqueLuster
DB0267,82,93,123,,,Opaque Blueberry Luster ,OpaqueLuster
DB0268,88,88,90,,,Opaque Smoke Luster ,OpaqueLuster
DB0271,184,188,200,,,Sparkling Silver Grey Lined Crystal ,LinedCrystalSparkling
DB0272,153,102,45,,,Goldenrod Lined Topaz AB ,ABLined
DB0273,66,68,54,,,Forest Green Lined Topaz AB ,ABLined
DB0274,59,110,51,,,Lined Pea Green Luster ,LinedLuster
DB0275,37,61,65,,,Lined Emerald Luster ,LinedLuster
DB0276,50,72,85,,,Lined Emerald AB ,ABLined
DB0277,52,45,89,,,Transparent Cobalt Luster ,TransparentLuster
DB0278,66,63,84,,,Lined Cobalt Luster ,LinedLuster
DB0279,63,62,68,,,Cranberry Lined Emerald Luster ,LinedLuster
DB0280,103,56,62,,,Cranberry Lined Crystal Luster ,LinedLusterCrystal
DB0281,108,54,103,,,Fuchsia Lined Crystal Luster ,LinedLusterCrystal
DB0282,110,54,57,,,Cranberry Lined Light Topaz Luster ,LinedLuster
DB0283,128,71,80,,,Cranberry Lined Peridot Luster ,LinedLuster
DB0284,72,73,129,,,Sparkling Purple Lined Aqua Luster ,LinedLusterSparkling
DB0285,52,67,126,,,Blue Lined Aqua ,Lined
DB0286,50,64,75,,,Midnight Blue Lined Aqua AB ,ABLined
DB0287,93,71,57,,,Cinnamon Lined Topaz Luster ,LinedLuster
DB0288,127,101,74,,,White Lined Saffron AB ,ABLined
DB0295,130,40,40,,,Lined Red AB ,ABLined
DB0296,65,40,46,,,Lined Ruby AB ,ABLined
DB0297,63,47,50,,,Gamet Lined Ruby AB ,ABLined
DB0301,73,77,89,,,Matte Gunmetal ,Matte
DB0306,71,71,73,,,Matte Metallic State ,MetallicMatte
DB0307,85,84,82,,,Matte Metallic Silver Grey ,MetallicMatte
DB0310,34,34,32,,,Matte Black ,Matte
DB0311,57,50,44,,,Matte Metallic Dark Olive ,MetallicMatte
DB0312,69,56,63,,,Matte Metallic Dark Raspberry AB ,MetallicABMatte
DB0321,116,105,103,,,Matte Nickel Plated ,Matte
DB0322,89,70,55,,,Matte Metallic Dark Bronze ,MetallicMatte
DB0323,62,58,72,,,Matte Metallic Copper Rainbow AB ,MetallicABMatte
DB0324,91,92,84,,,Matte Metallic Patina AB ,MetallicABMatte
DB0325,57,65,76,,,Matte Metallic Blue AB ,MetallicABMatte
DB0327,32,36,30,,??,Matte Metallic Dark Green Al ,MetallicMatte
DB0331,198,147,95,,??,Malte 24kt Gold Plated ,Galvanized
DB0334,192,162,133,,??,Matte 24kt Gold Light Plated ,Matte
DB0335,222,211,199,,??,Matte Galvanized Silver ,GalvanizedMatte
DB0340,125,85,75,,,Matte Copper Plated ,Matte
DB0351,235,233,236,,,Matte White ,Matte
DB0352,233,217,191,,,Matte Opaque Cream ,OpaqueMatte
DB0353,219,178,148,,,Malte Opaque Antique Beige ,Opaque
DB0354,209,166,149,,,Matte Opaque Blush ,OpaqueMatte
DB0355,170,126,143,,,Matte Opaque Dusty Orchid ,OpaqueMatte
DB0356,159,144,165,,,Matte Opaque Light Mauve ,OpaqueMatte
DB0357,185,185,197,,,Matte Opaque Pale Blue Grey ,OpaqueMatte
DB0361,66,69,136,,,Opaque Cobalt Satin ,OpaqueSatin
DB0362,183,48,78,,,Opaque Red Satin ,OpaqueSatin
DB0371,124,106,68,,,Opaque Golden Olive Satin ,OpaqueSatin
DB0372,115,108,79,,,Opaque Light Olive Satin ,OpaqueSatin
DB0373,82,97,90,,,Metallic Sage Green Satin ,MetallicSatin
DB0374,107,132,126,,,Opaque Sea Foam Satin ,OpaqueSatin
DB0375,89,138,145,,,Opaque Turquoise Blue Satin ,OpaqueSatin
DB0376,88,105,123,,,Metallic Steel Blue Satin ,MetallicSatin
DB0377,62,66,103,,,Matte Metallic Royal Blue ,MetallicMatte
DB0378,128,42,41,,,Matte Metallic Brick Red ,MetallicMatte
DB0379,142,111,119,,,Opaque Dusty Mauve Satin ,OpaqueSatin
DB0380,92,73,69,,,Matte Metallic Khaki AB ,MetallicABMatte
DB0381,110,123,142,,,Transparent Shadow Grey Satin ,TransparentSatin
DB0382,192,156,104,,,Transparent Pale Topaz Satin ,TransparentSatin
DB0383,138,132,120,,,Transparent Oyster Satin ,TransparentSatin
DB0384,77,65,49,,,Transparent Smoky Quartz Satin ,TransparentSatin
DB0385,96,128,123,,,Sea Green Satin ,Satin
DB0386,75,67,82,,,Transparent Dried Lavender Sat?n ,Transparent
DB0387,66,75,84,,,Transparent Montana Satin ,TransparentSatin
DB0388,181,165,139,,,Opaque Bone Satin ,OpaqueSatin
DB0389,188,138,105,,,Opaque Light Terracotta Satin ,OpaqueSatin
DB0390,121,104,74,,,Opaque Green Tea Satin ,OpaqueSatin
DB0391,94,97,68,,,Opaque Olive Satin ,OpaqueSatin
DB0410,169,126,81,Galvanised,,Galvanized Yellow Gold ,Galvanized
DB0411,170,129,101,Dyed ColourGalvanised,,Galvanized Apricot Gold ,Galvanized
DB0412,165,150,95,Dyed ColourGalvanised,,Galvanized Yellow ,Galvanized
DB0413,124,139,110,,,Galvanized Moss Green ,Galvanized
DB0414,106,136,134,,,Galvanized Dark Sea Foam ,Galvanized
DB0415,106,138,133,,,Galvanized Turquoise Green ,Galvanized
DB0416,100,131,134,,,Galvanized Sea Foam ,Galvanized
DB0417,158,135,129,,,Galvanized Dusty Mauve ,Galvanized
DB0418,176,140,142,,,Galvanized Blush ,Galvanized
DB0419,147,126,135,,,Galvanized Dusty Orchid ,Galvanized
DB0420,171,97,112,,,Galvanized Dark Coral ,Galvanized
DB0421,147,83,39,,,Galvanized Burnt Orange ,Galvanized
DB0422,146,47,127,,,Galvanized Fuchsia,Galvanized
DB0423,140,84,83,,,Galvanized Berry ,Galvanized
DB0424,175,149,56,,,Galvanized Zest ,Galvanized
DB0425,152,60,133,,,Galvanized Hot Pink ,Galvanized
DB0426,76,144,123,,,Galvanized Dark Mint Green ,Galvanized
DB0427,49,111,124,,,Galvanized Dark Aqua ,Galvanized
DB0428,143,70,81,,,Galvanized Light Cranberry ,Galvanized
DB0429,145,128,136,,,Galvanized Light Smoky Amethyst ,Galvanized
DB0430,94,71,117,,,Galvanized Dark Lilac ,Galvanized
DB0431,117,49,122,,,Galvanized Magenta ,Galvanized
DB0432,79,107,110,,,Galvanized Peacock Blue ,Galvanized
DB0433,168,138,112,,,Galvanized Champagne ,Galvanized
DB0434,165,113,89,,,Galvanized Muscat ,Galvanized
DB0435,170,118,122,,,Galvanized Pink Blush ,Galvanized
DB0436,126,114,98,,,Galvanized Pewter ,Galvanized
DB0451,45,63,73,,,Galvanized Dark Steel Blue ,Galvanized
DB0452,80,75,71,,,Galvanized Dark Grey ,Galvanized
DB0453,61,61,73,,,Galvanized Gunmetal ,Galvanized
DB0454,94,71,77,,,Galvanized Smoky Amethyst ,Galvanized
DB0455,77,63,76,,,Galvanized Dark Plum ,Galvanized
DB0456,86,76,49,,,Galvanized Olive ,Galvanized
DB0457,76,76,74,,,Galvanized Dark Steel Green ,Galvanized
DB0458,52,75,69,,,Galvanized Dark Teal Green ,Galvanized
DB0459,36,62,77,,,Galvanized MidnightAqua ,Galvanized
DB0460,83,61,48,,,Galvanized Cinnamon Brown ,Galvanized
DB0461,83,50,33,,,Galvanized Tarnished Copper ,Galvanized
DB0462,108,84,82,,,Galvanized Dark Mauve ,Galvanized
DB0463,80,35,74,,,Galvanized Dark Magenta ,Galvanized
DB0464,69,54,75,,,Galvanized Eggplant ,Galvanized
DB0465,51,60,69,,,Galvanized Midnight Blue ,Galvanized
DB0501,143,106,54,,multi,24id Gold AB ,AB
DB0505,118,78,42,,multi,24kt Dark Yellow Gold ,Metallic
DB0506,106,73,56,,multi,24x1 Red Gold AR ,Metallic
DB0507,127,98,66,,multi,24kt Pink Gold AB ,AB
DB0508,117,105,79,,multi,24kt Green Gold AB ,AB
DB0514,59,76,94,,multi,Nickel AB ,AB
DB0541,104,89,92,,multi,Spectrum Gold Palladium Plated AB ,AB
DB0542,86,73,80,,multi,Amethyst Gold AB Palladium Plated AB ,AB
DB0543,77,79,100,,multi,Violet Gold AB Palladium Plated AB ,AB
DB0544,99,107,118,,multi,Blue Gold AB Palladium Plated AB ,AB
DB0545,97,106,105,,multi,Silver Blue Gold AB Palladium Plated AB ,AB
DB0546,124,115,98,,multi,Silver Gold AB Palladium Plated AB ,AB
DB0551,186,182,173,,,Bright Sterling Silver Plated,Metallic
DB0601,112,35,25,silver lined,,Silver Lined Dark Burnt Orange ,SilverLined
DB0602,138,28,27,silver lined,,Silver Lined Red ,SilverLined
DB0603,109,32,26,silver lined,,Silver Lined Brick Red ,SilverLined
DB0604,83,65,29,silver lined,,Silver Lined Golden Olive ,SilverLined
DB0605,26,75,53,silver lined,,Silver Lined Emerald ,SilverLined
DB0606,51,53,50,silver lined,,Silver Lined Dark Olive ,SilverLined
DB0607,41,77,77,silver lined,,Silver Lined Teal ,SilverLined
DB0608,36,64,88,silver lined,,Silver Lined Blue Zircon ,SilverLined
DB0609,50,34,60,silver lined,,Silver Lined Dark Purple ,SilverLined
DB0610,59,34,102,silver lined,,Silver Lined Dark Violet ,SilverLined
DB0611,53,36,44,silver lined,,Silver Lined Wine ,SilverLined
DB0612,69,41,27,silver lined,,Silver Lined Dark Topaz ,SilverLined
DB0613,52,52,44,silver lined,,Silver Lined Dark Grey ,SilverLined
DB0621,207,164,111,dyed color silver lined,,Light Apricot Silver Lined Alabaster ,SilverLined
DB0622,169,98,80,dyed color silver lined,,Peach Silver Lined Alabaster ,SilverLined
DB0623,205,181,95,dyed color silver lined,,Jonquil Silver Lined Alabaster ,SilverLined
DB0624,203,154,147,dyed color silver lined,,Light Rose Silver Lined Alabaster ,SilverLined
DB0625,190,107,127,dyed color silver lined,,Rose Silver Lined Alabaster ,SilverLined
DB0626,104,174,163,dyed color silver lined,,Light Aqua Green Silver Lined Alabaster ,SilverLined
DB0627,42,153,136,dyed color silver lined,,Aqua Green Silver Lined Alabaster ,SilverLined
DB0628,103,150,168,dyed color silver lined,,Aqua Silver Lined Alabaster,SilverLined
DB0629,158,131,164,dyed color silver lined,,Lilac Silver Lined Alabaster ,SilverLined
DB0630,125,118,112,dyed color silver lined,,Light Smoke Grey Silver Lined Alabaster ,SilverLined
DB0631,95,90,84,dyed color silver lined,,Rustic Grey Silver Lined Alabaster ,SilverLined
DB0651,230,135,27,opaque,,Opaque Squash ,Opaque
DB0652,101,101,101,dyed color opaque,,Opaque Grey ,Opaque
DB0653,146,89,20,opaque,,Opaque Pumpkin ,Opaque
DB0654,116,29,37,opaque,,Opaque Maroon ,Opaque
DB0655,24,115,56,dyed color opaque,,Opaque Kelly Green ,Opaque
DB0656,15,87,65,opaque,,Opaque Green ,Opaque
DB0657,77,68,50,dyed color opaque,,Opaque Olive Drab ,Opaque
DB0658,19,162,178,dyed color opaque,,Opaque Turquoise Green ,Opaque
DB0659,18,125,193,dyed color,,Opaque Dark Turquoise Blue ,Opaque
DB0660,107,84,126,dyed color opaque,,Opaque Dark Orchid ,Opaque
DB0661,77,83,171,dyed color opaque,,Opaque Bright Purple ,Opaque
DB0662,91,76,95,dyed color,,Opaque Mulberry ,Opaque
DB0663,46,60,35,dyed color,,Opaque Olive ,Opaque
DB0670,203,204,209,ab silk,,Crystal AB Satin ,ABCrystalSatin
DB0671,129,110,78,silver lined,,Variegated Taupe Satin ,Satin
DB0672,226,218,182,silk,,Cream Satin ,Satin
DB0673,207,181,154,silk,,Antique Ivory Satin ,Satin
DB0674,217,167,130,silk,,Light Topaz Satin ,Satin
DB0675,223,185,206,silk,,Pale Pink Satin ,Satin
DB0676,200,200,212,silk,,Pale Grey Satin ,Satin
DB0677,174,180,202,silk,,Light Grey Satin ,Satin
DB0678,168,124,137,silk,,Antique Rose Satin ,Satin
DB0679,150,144,144,silk,,Light Taupe Satin ,Satin
DB0680,148,127,110,dyed colour silk,,Smokey Quartz Satin ,Satin
DB0681,184,103,22,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Orange ,SilverLinedFrosted
DB0682,186,82,27,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Dark Orange ,SilverLinedFrosted
DB0683,157,42,35,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Red Orange ,SilverLinedFrosted
DB0684,195,103,80,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Watermelon ,SilverLinedFrosted
DB0685,155,92,75,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Light Cranberry ,SilverLinedFrosted
DB0686,151,124,79,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Saffron,SilverLinedFrosted
DB0687,160,127,73,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Yellow Green ,SilverLinedFrosted
DB0688,41,99,59,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Green ,SilverLinedFrosted
DB0689,87,93,93,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Moss Green ,SilverLinedFrosted
DB0690,52,75,57,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Leaf Green ,SilverLinedFrosted
DB0691,77,140,155,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Mint Green ,SilverLinedFrosted
DB0692,68,131,166,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Aqua ,SilverLinedFrosted
DB0693,42,54,106,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Dusk Blue ,SilverLinedFrosted
DB0694,95,101,159,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Purple ,SilverLinedFrosted
DB0695,88,71,89,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Mulberry ,SilverLinedFrosted
DB0696,55,44,122,Dyed ColourMatteSilver Lined,,Frosted Silver Lined Dark Blue Violet ,SilverLinedFrosted
